experiment_id,reach_group,experiment_type,experiment_name,downstream_site,upstream_sites,tributary_sites,baseline_sites,notes,all_sites,available_campaigns_all_required_sites,has_all_sites_campaign1,has_all_sites_campaign2,downstream_usgs_gage,downstream_drainage_area_sq_mi,coverage_by_site
WF0_TW09_to_TW08_Sentinel,West Fork Trinity (NAS JRB bracket),downstream_propagation,Cumulative West Fork sentinel contrast,TW08,TW09,,,Repeated sentinel contrast used to evaluate temporal persistence between TW09 upstream baseline and TW08 downstream target.,TW09|TW08,C1|C2,True,True,USGS 08045550,2068.0,"{""TW08"":""C1|C2"",""TW09"":""C1|C2""}"
WF1_FarmersBranch,West Fork Trinity (NAS JRB bracket),tributary_increment,Farmers Branch tributary increment,TW92,TW09,TW91,,TW92 is WF Trinity immediately below Farmers Branch confluence; TW09 is WF upstream baseline; TW91 is Farmers Branch end-member.,TW09|TW91|TW92,C2,False,True,,,"{""TW09"": ""C1|C2"", ""TW91"": ""C2"", ""TW92"": ""C2""}"
WF2_NAS_JRB,West Fork Trinity (NAS JRB bracket),source_reach,NAS JRB source-reach increment,TW08,TW92,,TW09,Isolate change along WF Trinity between pre-NAS reach (TW92) and downstream of NAS JRB (TW08). TW09 provides upstream baseline context.,TW92|TW09|TW08,C2,False,True,USGS 08045550,2068.0,"{""TW08"": ""C1|C2"", ""TW09"": ""C1|C2"", ""TW92"": ""C2""}"
WF3_NW_Tributary,West Fork Trinity (NAS JRB bracket),tributary_increment,NW tributary increment downstream of NAS,TW82,TW08,TW81,TW09,TW82 is WF Trinity after NW tributary input (TW81) and downstream of TW08.,TW08|TW81|TW82|TW09,C2,False,True,,,"{""TW08"": ""C1|C2"", ""TW81"": ""C2"", ""TW82"": ""C2""}"
CF1_Holly_WTP,Clear Fork Trinity (Holly WTP bracket),source_reach,Holly WTP influence reach,TW72,TW71,,TW07,Use TW71 as pre-source immediately upstream of WTP influence; TW72 as downstream integrator; TW07 as farther-upstream baseline (gage site).,TW71|TW07|TW72,C2,False,True,,,"{""TW07"": ""C1|C2"", ""TW71"": ""C2"", ""TW72"": ""C2""}"
MC1_Meacham_Airport,Marine Creek (Meacham Airport bracket),tributary_increment,Meacham Airport drain increment,TW252,TW25,TW251,,TW251 drains Meacham Airport and enters Marine Creek between TW25 (upstream) and TW252 (downstream).,TW25|TW251|TW252,C2,False,True,,,"{""TW25"": ""C1|C2"", ""TW251"": ""C2"", ""TW252"": ""C2""}"
TR1_WF_CF_Confluence,Trinity mainstem integrators,confluence_mix,WF+CF mixing at confluence,TW05,TW82|TW72,,,TW05 is integrator near WF+CF confluence. Treat TW82 as WF contribution and TW72 as CF contribution for mixing/expected concentration checks.,TW82|TW72|TW05,C2,False,True,USGS 08048000,2615.0,"{""TW05"": ""C2"", ""TW72"": ""C2"", ""TW82"": ""C2""}"
TR2_Marine_Addition,Trinity mainstem integrators,confluence_mix,Marine Creek addition to Trinity mainstem,TW06,TW05,TW252,,TW06 is downstream of WF+CF+Marine confluence. Compare to TW05 (WF+CF) and Marine Creek integrator (TW252).,TW05|TW252|TW06,C2,False,True,,,"{""TW05"": ""C2"", ""TW06"": ""C1|C2"", ""TW252"": ""C2""}"
TR3_System_to_Outlet,Trinity mainstem integrators,downstream_propagation,Downstream propagation to outlet,TW41,TW06,,,TW41 is outlet integrator draining all sites; TW06 is upstream system integrator.,TW06|TW41,C2,False,True,,,"{""TW06"": ""C1|C2"", ""TW41"": ""C2""}"
