Site ID,Lat,Lon,Notes on Site Locations,USGS Streamflow,USGS_streamflow_gage,USGS_drainage_area_sq_mi,Reach_group,Bracket_role,In_Campaign1,In_Campaign2
TW09,32.779606,-97.414731,"Upstream point, in West Fork Trinity, relative to the Naval Air Station Joint Reserve Base",,,,West Fork Trinity (NAS JRB bracket),"Upstream baseline (WF Trinity, pre-tributary & pre-NAS)",True,True
TW91,32.76474435872,-97.4171303631588,50–300 m upstream of the Farmers Branch (from Southwest) confluence with the West Fork. It feeds into West Fork Trinity downstream of TW09 and upstream of TW92.,,,,West Fork Trinity (NAS JRB bracket),Tributary end-member (Farmers Branch),False,True
TW92,32.7665230135364,-97.4085187248046,West Fork immediately downstream of Farmers confluence (TW91 and TW09) but upstream of the NAS JRB influence reach (TW08),,,,West Fork Trinity (NAS JRB bracket),"Post-tributary / pre-source (WF Trinity, upstream of NAS reach)",False,True
TW08,32.759722,-97.403889,Downstream of the Naval Air Station Joint Reserve Base,USGS 0804550,USGS 08045550,2068.0,West Fork Trinity (NAS JRB bracket),"Downstream of source reach (WF Trinity, downstream of NAS) + USGS gage",True,True
TW81,32.7809946877784,-97.38018806118,Tributary from northwest to West Fork Trinity downstream of TW08 and upstream of TW82.,,,,West Fork Trinity (NAS JRB bracket),Tributary end-member (NW tributary to WF Trinity),False,True
TW82,32.7625286533929,-97.3434331966887,Downstream of TW08 and after TW81 feeds into the West Fork Trinity before it merges to Clear Fork Trinity,,,,West Fork Trinity (NAS JRB bracket),Downstream integrator (WF Trinity after TW81; before CF confluence),False,True
TW05,32.76083,-97.33223,Downstream of the merged West Fork Trinity and Clear Fork near Main Street. It is a few hundred meters from the confluence.,USGS 08048000,USGS 08048000,2615.0,Trinity mainstem integrators,Confluence integrator (WF + CF near Main St) + USGS gage,False,True
TW07,32.732222,-97.358611,Upstream of Holly Water Treatment Plant and TW71,USGS 08047500,USGS 08047500,518.0,Clear Fork Trinity (Holly WTP bracket),Upstream baseline (Clear Fork Trinity) + USGS gage,True,True
TW71,32.7418410840671,-97.3531701237848,Clear Fork immediately upstream of Holly WTP discharge influence; downstream of TW07. ,,,,Clear Fork Trinity (Holly WTP bracket),Pre-source (Clear Fork just upstream of Holly WTP discharge influence),False,True
TW72,32.7586853427627,-97.3423051072178,Downstream of TW07 before it merges to West Fork Trinity River,,,,Clear Fork Trinity (Holly WTP bracket),Downstream integrator (Clear Fork downstream; pre-confluence),False,True
TW25,32.812197,-97.377495,Upstream point relative to Fort Worth Meacham Airport. It is in Marine Creek.,,,,Marine Creek (Meacham Airport bracket),"Upstream baseline (Marine Creek, upstream of airport)",True,True
TW251,32.8085091300083,-97.3672571670853,Creek that drains Mecham Airport and feeds into the Marine Creek at the NW 35th st; it is downstream of TW25.,,,,Marine Creek (Meacham Airport bracket),Tributary end-member (Meacham Airport drain),False,True
TW252,32.7834162666566,-97.3411713893073,Marine Creek downstream of Meacham Airport before it merges to West Fork Trinity. It is downstream of TW25 and TW251.,,,,Marine Creek (Meacham Airport bracket),Downstream integrator (Marine Creek downstream of airport; pre-confluence),False,True
TW06,32.783167,-97.327806,"Downstream from the confluence of West Fork Trinity, Clear Fork Trinity, and Marine Creek. It is below all sites but TW41.",,,,Trinity mainstem integrators,System integrator (downstream of WF+CF+Marine confluence),True,True
TW41,32.7512,-97.2828,"The last sampling location, which drains all 14 sampling sites. It is below TW06.",,,,Trinity mainstem integrators,"Outlet integrator (downstream, drains all sites)",False,True
